discipline,rank,participants
MS,1,8
WS,1,8
MD,1,10
WD,1,7
XDM,1,3
XDW,1,3
MS,3,14
WS,3,0
MD,3,10
WD,3,6
XDM,3,7
XDW,3,8
MS,5,9
WS,5,4
MD,5,14
WD,5,6
XDM,5,5
XDW,5,5
MS,7,10
WS,7,9
MD,7,12
WD,7,5
XDM,7,3
XDW,7,4
MS,8,11
MS,9,9
WS,9,11
MD,9,12
WD,9,5
MS,10,9
XDM,10,5
XDW,10,5
MS,11,14
WS,11,7
MD,11,11
WD,11,3
XDM,11,0
XDW,11,0
MS,12,14
